reg,dep,com,insee,name,pop,half
Occitanie,31,555,31555,Toulouse,471 941,oui
Provence-Alpes-Côte d'Azur,06,088,06088,Nice,342 522,oui
Pays de la Loire,44,109,44109,Nantes,303 382,oui
Occitanie,34,172,34172,Montpellier,277 639,oui
Grand Est,67,482,67482,Strasbourg,277 270,oui
Nouvelle-Aquitaine,33,063,33063,Bordeaux,249 712,oui
Île-de-France,75,115,75115,Paris 15e Arrondissement,234 994,oui
Hauts-de-France,59,350,59350,Lille,232 741,oui
Bretagne,35,238,35238,Rennes,215 366,oui
Île-de-France,75,118,75118,Paris 18e Arrondissement,197 580,oui
Île-de-France,75,120,75120,Paris 20e Arrondissement,195 556,oui
Île-de-France,75,119,75119,Paris 19e Arrondissement,185 654,oui
Grand Est,51,454,51454,Reims,184 076,oui
Île-de-France,75,113,75113,Paris 13e Arrondissement,183 216,oui
Normandie,76,351,76351,Le Havre,172 366,oui
Auvergne-Rhône-Alpes,42,218,42218,Saint-Étienne,171 057,oui
Île-de-France,75,117,75117,Paris 17e Arrondissement,168 533,oui
Provence-Alpes-Côte d'Azur,83,137,83137,Toulon,167 479,oui
Île-de-France,75,116,75116,Paris 16e Arrondissement,165 487,oui
Auvergne-Rhône-Alpes,38,185,38185,Grenoble,160 649,oui
Bourgogne-Franche-Comté,21,231,21231,Dijon,155 114,oui
Pays de la Loire,49,007,49007,Angers,151 520,oui
Occitanie,30,189,30189,Nîmes,150 672,oui
Île-de-France,75,111,75111,Paris 11e Arrondissement,149 834,oui
Auvergne-Rhône-Alpes,69,266,69266,Villeurbanne,148 665,oui
La Réunion,974,411,974411,Saint-Denis,146 985,oui
Pays de la Loire,72,181,72181,Le Mans,143 325,oui
Provence-Alpes-Côte d'Azur,13,001,13001,Aix-en-Provence,142 668,oui
Île-de-France,75,112,75112,Paris 12e Arrondissement,142 340,oui
Auvergne-Rhône-Alpes,63,113,63113,Clermont-Ferrand,141 398,oui
Île-de-France,75,114,75114,Paris 14e Arrondissement,139 992,oui
Bretagne,29,019,29019,Brest,139 163,oui
Centre-Val de Loire,37,261,37261,Tours,136 252,oui
Nouvelle-Aquitaine,87,085,87085,Limoges,133 627,oui
Hauts-de-France,80,021,80021,Amiens,132 874,oui
Auvergne-Rhône-Alpes,74,010,74010,Annecy,125 694,oui
Occitanie,66,136,66136,Perpignan,121 934,oui
Île-de-France,92,012,92012,Boulogne-Billancourt,117 931,oui
Grand Est,57,463,57463,Metz,117 492,oui
Bourgogne-Franche-Comté,25,056,25056,Besançon,116 676,oui
Centre-Val de Loire,45,234,45234,Orléans,114 644,oui
Île-de-France,93,066,93066,Saint-Denis,111 103,oui
Île-de-France,95,018,95018,Argenteuil,110 388,oui
Grand Est,68,224,68224,Mulhouse,110 370,oui
Normandie,76,540,76540,Rouen,110 169,oui
Île-de-France,93,048,93048,Montreuil,106 691,oui
Normandie,14,118,14118,Caen,106 260,oui
La Réunion,974,415,974415,Saint-Paul,105 967,oui
Grand Est,54,395,54395,Nancy,105 162,oui
Auvergne-Rhône-Alpes,69,383,69383,Lyon 3e Arrondissement,101 882,oui
Hauts-de-France,59,599,59599,Tourcoing,96 809,oui
Hauts-de-France,59,512,59512,Roubaix,96 077,oui
Île-de-France,92,050,92050,Nanterre,93 742,oui
Île-de-France,94,081,94081,Vitry-sur-Seine,92 531,oui
Provence-Alpes-Côte d'Azur,84,007,84007,Avignon,92 130,oui
Provence-Alpes-Côte d'Azur,13,213,13213,Marseille 13e Arrondissement,91 906,oui
Île-de-France,75,110,75110,Paris 10e Arrondissement,91 770,oui
Île-de-France,94,028,94028,Créteil,90 739,oui
Hauts-de-France,59,183,59183,Dunkerque,88 876,oui
Nouvelle-Aquitaine,86,194,86194,Poitiers,87 918,oui
Île-de-France,92,004,92004,Asnières-sur-Seine,86 512,oui
Île-de-France,78,646,78646,Versailles,85 771,oui
