Mme/M,Députés,id,photo,Groupe,Ministre,Fonction,Partis,Précision,Téléphone / Portable,Mail,Départements,Circonscription,Tribune Le Monde signataires interdiction glyphosate,Co-signataires amendement Mathieu Oprhelin,1er scrutin Absent / Présent,Pour/Contre,2ème scrutin Absent / Présent,Pour/Contre,SCRUTIN ENVOYE SPECIAL
M.,Alain David,omc_pa1008,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1008.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 06 14,alain.david@assemblee-nationale.fr,Gironde,4,,,,,,,
M.,Charles de la Verpillière,omc_pa1012,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1012.jpg,Les Républicains,,,LR,,01 40 63 91 03,charles.delaverpilliere@assemblee-nationale.fr  charlesdelaverpilliere@orange.fr,Ain,2,,,,,,,
M.,Bernard Deflesselles,omc_pa1029,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1029.jpg,Les Républicains,,,LR,,01 40 63 72 75,bernard.deflesselles@assemblee-nationale.fr,Bouches-du-Rhône,9,,,,,,,
Mme,Laurence Dumont,omc_pa1198,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1198.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 68 51,laurence.dumont@assemblee-nationale.fr,Calvados,2,,,,,,,POUR
M.,Nicolas Dupont-Aignan,omc_pa1206,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1206.jpg,Non inscrit,,,NI,Debout la France,01 40 63 07 12 OU 01 40 63 07 92,nicolas.dupont-aignan@assemblee-nationale.fr,Essonne,8,,,,,,,NE REPOND PAS
M.,Michel Fanget,omc_pa1276,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1276.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 75 10,michel.fanget@assemblee-nationale.fr,Puy-de-Dôme,4,,,,,,,
M.,Nicolas Forissier,omc_pa1327,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1327.jpg,Les Républicains,,,LR,,01 40 63 67 88,nicolas.forissier@assemblee-nationale.fr,Indre,2,,,,,,,
M.,Claude Goasguen,omc_pa1498,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1498.jpg,Les Républicains,,,LR,,01 40 63 67 94 OU 01 40 63 55 25,claude.goasguen@assemblee-nationale.fr,Paris,14,,,,,,,
M.,David Habib,omc_pa1592,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1592.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 71 48,david.habib@assemblee-nationale.fr,Pyrénées-Atlantiques,3,,,,,,,
M.,Michel Herbillon,omc_pa1630,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1630.jpg,Les Républicains,,,LR,,01 40 63 67 72,michel.herbillon@assemblee-nationale.fr  michel.herbillon@wanadoo.fr,Val-de-Marne,8,,,,,,,
M.,Christian Jacob,omc_pa1695,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1695.jpg,Les Républicains,,Président,LR,,01 40 63 60 63 OU 06 86 28 46 12 ( Cécile Richet),christian.jacob@assemblee-nationale.fr,Seine-et-Marne,4,,,Présent,Contre,,,
M.,Jérôme Lambert,omc_pa1809,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1809.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 57 56,jerome.lambert@assemblee-nationale.fr,Charente,3,,,,,,,POUR
M.,Jean Lassalle,omc_pa1838,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1838.jpg,Non inscrit,,,NI,Régions et peuples solidaires,01 40 63 01 10,jean.lassalle@assemblee-nationale.fr,Pyrénées-Atlantiques,4,,,,,,,NE VEUT PAS REPONDRE
M.,Marc Le Fur,omc_pa1874,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1874.jpg,Les Républicains,,,LR,,01 40 63 67 81,marc.lefur@assemblee-nationale.fr,Côtes-d'Armor,3,,,,,,,
M.,Maurice Leroy,omc_pa1960,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1960.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,02 54 89 01 72 ( Tel en circ.),maurice.leroy@assemblee-nationale.fr  mleroy.depute41@orange.fr,Loir-et-Cher,3,,,,,PRESENT,NON-VOTANT ( PSDT DE SEANCE),
M.,Franck Marlin,omc_pa2086,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2086.jpg,Les Républicains,,,LR,,01 40 63 67 73 OU 01 40 63 53 45,franck.marlin@assemblee-nationale.fr,Essonne,2,,,,,,,
M.,Jean-Luc Mélenchon,omc_pa2150,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2150.jpg,La France insoumise,,Président,LFI,,01 40 63 60 12,jean-luc.melenchon@assemblee-nationale.fr,Bouches-du-Rhône,4,,,,,PRESENT,POUR,
M.,Gérard Menuel,omc_pa2155,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2155.jpg,Les Républicains,,,LR,,01 40 63 72 82,gerard.menuel@assemblee-nationale.fr,Aube,3,,,,,,,
M.,Bernard Brochand,omc_pa223837,http://www2.assemblee-nationale.fr/static/tribun/15/photos/223837.jpg,Les Républicains,,,LR,,01 40 63 67 83 OU 01 40 63 53 86,bernard.brochand@assemblee-nationale.fr,Alpes-Maritimes,8,,,,,,,
M.,Bernard Perrut,omc_pa2377,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2377.jpg,Les Républicains,,,LR,,01 40 63 72 60,bperrut@wanadoo.fr  bernard.perrut@assemblee-nationale.fr,Rhône,9,,,,,,,
M.,Jean-Pierre Pont,omc_pa2449,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2449.jpg,La République en Marche,,,LREM,,01 40 63 32 12,jppontdepute@orange.fr  jean-pierre.pont@assemblee-nationale.fr,Pas-de-Calais,5,,,,,,,NE VEUT PAS REPONDRE
M.,Didier Quentin,omc_pa2492,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2492.jpg,Les Républicains,,,LR,,01 40 63 67 95,didier.quentin@assemblee-nationale.fr,Charente-Maritime,5,,,,,,,
M.,Jean-Luc Reitzer,omc_pa2529,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2529.jpg,Les Républicains,,,LR,,01 40 63 05 06,jeanluc.reitzer@wanadoo.fr  jean-luc.reitzer@assemblee-nationale.fr,Haut-Rhin,3,,,,,,,POUR
M.,Laurent Furst,omc_pa266774,http://www2.assemblee-nationale.fr/static/tribun/15/photos/266774.jpg,Les Républicains,,,LR,,01 40 63 72 59,laurent.furst@assemblee-nationale.fr,Bas-Rhin,6,,,,,,,
M.,Frédéric Reiss,omc_pa266776,http://www2.assemblee-nationale.fr/static/tribun/15/photos/266776.jpg,Les Républicains,,,LR,,01 40 63 05 08,frederic.reiss@assemblee-nationale.fr  reiss.depute@wanadoo.fr,Bas-Rhin,8,,,,,,,
