title,deputes,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,premier_scrutin_presence,premier_scrutin_vote,deuxieme_scrutin_presence,deuxieme_scrutin_vote,envoye_special
M.,Alain David,omc_pa1008,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1008.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Gironde,4,,,,,,,
M.,Charles de la Verpillière,omc_pa1012,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1012.jpg,Les Républicains,,,LR,,Ain,2,,,,,,,
M.,Bernard Deflesselles,omc_pa1029,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1029.jpg,Les Républicains,,,LR,,Bouches-du-Rhône,9,,,,,,,
Mme,Laurence Dumont,omc_pa1198,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1198.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Calvados,2,,,,,,,POUR
M.,Nicolas Dupont-Aignan,omc_pa1206,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1206.jpg,Non inscrit,,,NI,Debout la France,Essonne,8,,,,,,,NE REPOND PAS
M.,Michel Fanget,omc_pa1276,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1276.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Puy-de-Dôme,4,,,,,,,
M.,Nicolas Forissier,omc_pa1327,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1327.jpg,Les Républicains,,,LR,,Indre,2,,,,,,,
M.,Claude Goasguen,omc_pa1498,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1498.jpg,Les Républicains,,,LR,,Paris,14,,,,,,,
M.,David Habib,omc_pa1592,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1592.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Pyrénées-Atlantiques,3,,,,,,,
M.,Michel Herbillon,omc_pa1630,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1630.jpg,Les Républicains,,,LR,,Val-de-Marne,8,,,,,,,
M.,Christian Jacob,omc_pa1695,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1695.jpg,Les Républicains,,Président,LR,,Seine-et-Marne,4,,,Présent,Contre,,,
M.,Jérôme Lambert,omc_pa1809,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1809.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Charente,3,,,,,,,POUR
M.,Jean Lassalle,omc_pa1838,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1838.jpg,Non inscrit,,,NI,Régions et peuples solidaires,Pyrénées-Atlantiques,4,,,,,,,NE VEUT PAS REPONDRE
M.,Marc Le Fur,omc_pa1874,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1874.jpg,Les Républicains,,,LR,,Côtes-d'Armor,3,,,,,,,
M.,Maurice Leroy,omc_pa1960,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1960.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Loir-et-Cher,3,,,,,PRESENT,NON-VOTANT ( PSDT DE SEANCE),
M.,Franck Marlin,omc_pa2086,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2086.jpg,Les Républicains,,,LR,,Essonne,2,,,,,,,
M.,Jean-Luc Mélenchon,omc_pa2150,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2150.jpg,La France insoumise,,Président,LFI,,Bouches-du-Rhône,4,,,,,PRESENT,POUR,
M.,Gérard Menuel,omc_pa2155,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2155.jpg,Les Républicains,,,LR,,Aube,3,,,,,,,
M.,Bernard Brochand,omc_pa223837,http://www2.assemblee-nationale.fr/static/tribun/15/photos/223837.jpg,Les Républicains,,,LR,,Alpes-Maritimes,8,,,,,,,
