title,deputes,raisons,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,mai,premier_scrutin_presence,premier_scrutin_vote,septembre,deuxieme_scrutin_presence,deuxieme_scrutin_vote,envoye_special
Mme,Stella Dupont,"28 mai : en tant que conseillère municipale, j'étais présente au Conseil municipal de Chalonnes-sur-Loire, dont j'ai été maire pendant 9 ans. L'ordre du jour appelait la présentation du rapport d'observation de la Cour régionale des comptes sur la gestion de la commune. 14 septembre : L'après-midi, j'accueillais à Angers, pour la présentation du plan vélo, Edouard Philippe, François de Rugy et Elisabeth Borne. Le soir, j'organisais mon bilan de première année de mandat, en présence du Secrétaire d'Etat en charge des relations avec le Parlement, Christophe Castaner",omc_pa643175,http://www2.assemblee-nationale.fr/static/tribun/15/photos/643175.jpg,La République en Marche,,,LREM,,Maine-et-Loire,2.0,,,Absent,Absent,,Absent,,,Pour
M.,Jean-Luc Lagleize,28 mai : pas présent à l'Assemblée nationale en raison d'engagements pris en circonscription. 14 septembre : pas présent à l'Assemblée nationale en raison d'une mission parlementaire en Argentine.,omc_pa719504,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719504.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Haute-Garonne,2.0,,,Absent,Absent,,Absent,,,Contre
Mme,Sonia Krimi,"28 mai 2018 : J'étais en déplacement avec l'OTAN à Varsovie, je suis membre de l'Assemblée Parlementaire de l'OTAN. 14 septembre 2018 : J'ai eu un empêchement personnel, indépendant de ma volonté, qui ne m'a pas permis d'assister au vote.",omc_pa720202,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720202.jpg,La République en Marche,,,LREM,,Manche,4.0,,SIGNATAIRE,Absent,Absent,,Absent,,,Pour
Mme,Aurore Bergé,28/05 : présence au Conseil municipal de la ville où je suis élue. 14/09 : intervention à la Rochelle dans le cadre du festival de la fiction (en qualité de rapporteure de la mission d'information sur la réforme de la régulation de l'audiovisuel),omc_pa722046,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722046.jpg,La République en Marche,,,LREM,,Yvelines,10.0,,,Absent,Absent,,Absent,,,Contre
Mme,Gisèle Biémouret,28/05 réunion en Commission des affaires sociales et travaux en groupe pour l'examen du projet de loi sur la formation professionnelle. 14/09 obligations en circonscription du vendredi (Ex. Conseil de surveillance de l'hôpital de Condom).,omc_pa508,http://www2.assemblee-nationale.fr/static/tribun/15/photos/508.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Gers,2.0,,,Absent,Absent,,Absent,,,Pour
M.,Luc Carvounas,Absent en première lecture car cela ne devait pas passer ce soir là au vu du rythme des débats. De Rugy a décidé de prolonger les débats après 1h pour que le vote se tienne en catimini à plus de 2 h du matin...,omc_pa429893,http://www2.assemblee-nationale.fr/static/tribun/15/photos/429893.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Val-de-Marne,9.0,,,Absent,Absent,,Pour,PRESENT,POUR,Pour
M.,Marc Delatte,"Absent pour des raisons de présence en Circonscription ( agenda retenu de longue date ), je ne pouvais dès lors être en Séance",omc_pa718694,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718694.jpg,La République en Marche,,,LREM,,Aisne,4.0,,,Absent,Absent,,Absent,,,Pour
Mme,Isabelle Valentin,Absente le 14 sept car pas de vol le vendredi soir au Puy en Velay et le 28 mai car passage tardif et Mme la députée était rentrée en circ.,omc_pa643134,http://www2.assemblee-nationale.fr/static/tribun/15/photos/643134.jpg,Les Républicains,,,LR,,Haute-Loire,1.0,,,Absent,Absent,,Absent,,,Contre
M.,Guy Bricout,"Appartenant à la Commission Développement durable et aménagement du territoire, j'ai eu l'occasion de faire connaître mon opinion. J'avais ces jours-là d'autres obligations. Le résultat du vote ne faisait pas de doute et les députés ne peuvent être toujours présents.",omc_pa267766,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267766.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Nord,18.0,,,Absent,Absent,,Absent,,,Pour
M.,François Ruffin,"Après dix jours de débats en hémicycle, de 9h le matin jusqu'à parfois tard dans la nuit, il était effectivement prévu que l'amendement ne passe pas cette nuit là mais le lendemain matin.",omc_pa722142,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722142.jpg,La France insoumise,,,LFI,,Somme,1.0,,,Absent,Absent,,Pour,PRESENT,POUR,Pour
M.,Pierre Dharréville,"Au moment de l'examen en séance du projet de loi agriculture et alimentation, j'étais toute la semaine jusqu'à des heures tardives en débat parlementaire au sein de la commission des affaires sociales, dont je suis membre, sur le projet de loi ""pour la liberté de choisir son avenir professionnel"", qui comporte nombre de dispositions extrêmement préoccupantes. Ce travail s'est achevé à deux heures du matin le vendredi. Je suis intervenu la même semaine sur l'assurance-chômage, sur la formation professionnelle, sur l'apprentissage, sur le handicap mais aussi sur la loi littoral, menacée par le projet de loi ELAN. C'est un travail de longue haleine qui nécessite en amont le recueil de nombreuses informations, de rencontres et d'échanges avec divers acteurs et actrices concernés pour se constituer force de proposition.",omc_pa718926,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718926.jpg,Gauche démocrate et républicaine,,,PCF,,Bouches-du-Rhône,13.0,,,Absent,Absent,,Pour,PRESENT,POUR,Contre
M.,Jean-Noël Barrot,"Au moment du vote de cet amendement, il était près d'1h40 du matin. Il n'était donc pas prévisible pour moi que le vote de cet amendement se tiendrait ce lundi soir, à plus forte raison à cette heure de la nuit.",omc_pa721836,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721836.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Yvelines,2.0,,,Absent,Absent,,Absent,,,Contre
Mme,Valérie Thomas,"Autres obligations en dehors de l'Assemblée nationale : le matin, j'étais à la Banque Mondiale dans le cadre de mes activités sur la Santé Mondiale. L'après-midi, j'ai dû repartir en circonscription.",omc_pa720830,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720830.jpg,La République en Marche,,,LREM,,Puy-de-Dôme,1.0,SIGNATAIRE,,Contre,Présent,Contre,Absent,,,Contre
Mme,Élodie Jacquier-Laforge,Autres obligations professionnelles (déplacements en circonscription),omc_pa719874,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719874.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Isère,9.0,,,Absent,Absent,,Absent,,,Contre
M.,Stéphane Viry,"Avant les débats parlementaires, je n'avais pas connaissance de l'amendement déposé, et que l'organisation/planification initiale des séances ne prévoyait pas de siéger après 1 h du matin lors de l'examen de ce projet de Loi. Aussi, j'avais d'autres engagements par ailleurs au moment des débats relatifs à cet amendement.",omc_pa721474,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721474.jpg,Les Républicains,,,LR,,Vosges,1.0,,,Absent,Absent,,Absent,,,Contre
M.,Jean Lassalle,"Ce qui l'a empêché de voter l'amendement est le fait qu'il pensait, comme ses collaborateurs, que le vote sur un point aussi important se ferait le lendemain, et non tard dans la nuit. Il appelait d'ailleurs à ce moment à une suspension de séance, pour que les travaux puissent être débattus intelligemment, et non à la va vite dans un état de fatigue extrême. Il n'était donc plus dans l'hémicycle au moment des derniers votes.",omc_pa1838,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1838.jpg,Non inscrit,,,NI,Régions et peuples solidaires,Pyrénées-Atlantiques,4.0,,,Absent,Absent,,Absent,,,Ne veut pas répondre
M.,Olivier Faure,"Ce soir-là, lundi 28 mai, le débat aurait dû s'interrompre à 1H. C'est le Président de l'Assemblée nationale d'alors, François de Rugy (dont on peut imaginer la gêne sur le sujet pour l'ancien écologiste qu'il fût), qui avait décidé de prolonger la séance pour une raison évidente : donner le moins d'échos possibles à ce débat. Nul doute par ailleurs que même si nous avions été plus nombreux, la majorité aurait fait en sorte d'être…majoritaire.",omc_pa609332,http://www2.assemblee-nationale.fr/static/tribun/15/photos/609332.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Seine-et-Marne,11.0,,,Absent,Absent,,Pour,PRESENT,POUR,Pour
