title,deputes,raisons,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,mai,premier+AF8-scrutin+AF8-presence,premier+AF8-scrutin+AF8-vote,septembre,deuxieme+AF8-scrutin+AF8-presence,deuxieme+AF8-scrutin+AF8-vote,envoye+AF8-special
M.,Adrien Morenas,Pas de r+AOk-ponse.,omc+AF8-pa721876,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/721876.jpg,La R+AOk-publique en marche,,,LREM,,Vaucluse,3e,,SIGNATAIRE,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Adrien Quatennens,+ACI-+ACIAIg-Lundi +AOA- une heure moins deux minutes, Fran+AOc-ois de Rugy a d+AOk-cid+AOk- de poursuivre la s+AOk-ance jusqu'+AOA- 2 heures pour que le d+AOk-bat et le vote sur le glyphosate aient lieu en pleine nuit en catimini.+ACIAIg-+ACI-,omc+AF8-pa720422,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/720422.jpg,La France insoumise,,,LFI,,Nord,1+AOg-re,,,Absent(e),Absent(e),,Pour,PRESENT,POUR,Pour
M.,Adrien Taquet,Pas de r+AOk-ponse.,omc+AF8-pa722086,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/722086.jpg,La R+AOk-publique en marche,,,LREM,,Hauts+AC0-de+AC0-Seine,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,Agn+AOg-s Firmin Le Bodo,+ACI-+ACIAIg-Les lundis et vendredis sont traditionnellement les jours r+AOk-serv+AOk-s +AOA- notre circonscription et +AOA- nos obligations professionnelles (je suis pharmacien). Notre groupe +AOk-tait repr+AOk-sent+AOk- par des membres de la commission concern+AOk-e par le sujet.+ACIAIg-+ACI-,omc+AF8-pa267780,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/267780.jpg,+ACI-UDI, Agir et Ind+AOk-pendants+ACI-,,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Seine+AC0-Maritime,7e,,,Absent(e),Absent(e),,Absent(e),,,Contre
Mme,Agn+AOg-s Thill,Pas de r+AOk-ponse.,omc+AF8-pa720568,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/720568.jpg,La R+AOk-publique en marche,,,LREM,,Oise,2e,,SIGNATAIRE,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,Aina Kuric,Pas de r+AOk-ponse.,omc+AF8-pa720214,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/720214.jpg,La R+AOk-publique en marche,,,LREM,,Marne,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Alain Bruneel,+ACI-+ACIAIg-Le 14 septembre, il n'+AOk-tait pas dans l'H+AOk-micycle, car il avait pr+AOk-vu une r+AOk-union de longue date en circonscription pour faire un bilan de sa premi+AOg-re ann+AOk-e de parlementaire+ACIAIg-, justifie l'entourage du d+AOk-put+AOk-.+ACI-,omc+AF8-pa720546,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/720546.jpg,Gauche d+AOk-mocrate et r+AOk-publicaine,,,PCF,,Nord,16e,,,Absent(e),Absent(e),,Absent(e),,,Pour
M.,Alain David,Pas de r+AOk-ponse.,omc+AF8-pa1008,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/1008.jpg,Socialistes et apparent+AOk-s,,,NOUVELLE GAUCHE,,Gironde,4e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Alain Perea,Pas de r+AOk-ponse.,omc+AF8-pa718802,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/718802.jpg,La R+AOk-publique en marche,,,LREM,,Aude,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Alain Ramadier,Pas de r+AOk-ponse.,omc+AF8-pa721286,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/721286.jpg,Les R+AOk-publicains,,,LR,,Seine+AC0-Saint+AC0-Denis,10e,,,Absent(e),Absent(e),,Contre,PRESENT,CONTRE,Pas de r+AOk-ponse
