title,deputes,raisons,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,mai,premier_scrutin_presence,premier_scrutin_vote,septembre,deuxieme_scrutin_presence,deuxieme_scrutin_vote,envoye_special
M.,Adrien Morenas,Pas de réponse.,omc_pa721876,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721876.jpg,La République en marche,,,LREM,,Vaucluse,3e,,SIGNATAIRE,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Adrien Quatennens,"""Lundi à une heure moins deux minutes, François de Rugy a décidé de poursuivre la séance jusqu'à 2 heures pour que le débat et le vote sur le glyphosate aient lieu en pleine nuit en catimini.""",omc_pa720422,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720422.jpg,La France insoumise,,,LFI,,Nord,1ère,,,Absent(e),Absent(e),,Pour,PRESENT,POUR,Pour
M.,Adrien Taquet,Pas de réponse.,omc_pa722086,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722086.jpg,La République en marche,,,LREM,,Hauts-de-Seine,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Agnès Firmin Le Bodo,"""Les lundis et vendredis sont traditionnellement les jours réservés à notre circonscription et à nos obligations professionnelles (je suis pharmacien). Notre groupe était représenté par des membres de la commission concernée par le sujet.""",omc_pa267780,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267780.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Seine-Maritime,7e,,,Absent(e),Absent(e),,Absent(e),,,Contre
Mme,Agnès Thill,Pas de réponse.,omc_pa720568,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720568.jpg,La République en marche,,,LREM,,Oise,2e,,SIGNATAIRE,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Aina Kuric,Pas de réponse.,omc_pa720214,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720214.jpg,La République en marche,,,LREM,,Marne,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Alain Bruneel,"""Le 14 septembre, il n'était pas dans l'Hémicycle, car il avait prévu une réunion de longue date en circonscription pour faire un bilan de sa première année de parlementaire"", justifie l'entourage du député.",omc_pa720546,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720546.jpg,Gauche démocrate et républicaine,,,PCF,,Nord,16e,,,Absent(e),Absent(e),,Absent(e),,,Pour
M.,Alain David,Pas de réponse.,omc_pa1008,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1008.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Gironde,4e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Alain Perea,Pas de réponse.,omc_pa718802,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718802.jpg,La République en marche,,,LREM,,Aude,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Alain Ramadier,Pas de réponse.,omc_pa721286,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721286.jpg,Les Républicains,,,LR,,Seine-Saint-Denis,10e,,,Absent(e),Absent(e),,Contre,PRESENT,CONTRE,Pas de réponse
M.,Alain Tourret,Pas de réponse.,omc_pa2828,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2828.jpg,La République en marche,,,LREM,,Calvados,6e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Albane Gaillot,Pas de réponse.,omc_pa721246,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721246.jpg,La République en marche,,,LREM,,Val-de-Marne,11e,,,Absent(e),Absent(e),,Abstention,PRESENT,ABSTENTION,Pas de réponse
Mme,Alexandra Louis,Pas de réponse.,omc_pa718918,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718918.jpg,La République en marche,,,LREM,,Bouches-du-Rhône,3e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Alexandra Valetta Ardisson,Pas de réponse.,omc_pa718768,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718768.jpg,La République en marche,,,LREM,,Alpes-Maritimes,4e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Alexandre Freschi,"""Je n'étais pas présent dans l'Hémicycle lors de ce vote car le lundi 28 mai et le vendredi 14 septembre, j'étais retenu dans ma circonscription dans le Lot-et-Garonne pour des entretiens.""",omc_pa720030,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720030.jpg,La République en marche,,,LREM,,Lot-et-Garonne,2e,,,Absent(e),Absent(e),,Absent(e),,,Pour
M.,Alexandre Holroyd,Pas de réponse.,omc_pa721150,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721150.jpg,La République en marche,,,LREM,,Français établis hors de France,3e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Alexis Corbière,"""Le président de l'Assemblée, à l'époque M. De Rugy, s'est arrangé pour que les séances s'étalent du lundi au dimanche, de 9h30 à 1 heure du matin. Du quasi non-stop, donc. Le groupe parlementaire de La France insoumise étant réduit, nos députés ne peuvent se relayer aussi efficacement, par exemple, que les députés LREM. Après avoir siégé de manière quasi ininterrompue la semaine précédent le vote, la majorité des députés insoumis avaient quitté la séance pour rentrer se reposer avant la reprise des débats, prévue le lendemain à 9h30. Mais, contrairement à ce qui était prévu, cette séance ne s'est pas terminée à 1 heure, mais a été prolongée jusqu'à 2 heures du matin, suite à une décision unilatérale prise par le président de l'Assemblée, dans le seul et unique but d'avancer le vote sur le glyphosate dans la nuit, et non lors de la reprise de séance. Tout avait été sciemment mis en œuvre pour qu'un minimum de parlementaires de l'opposition (et pour la plupart favorables à l'interdiction du glyphosate) soient présents lors de ce vote si important. Il va sans dire que ce sont des conditions selon moi déplorables, pour ce qui est censé être un débat parlementaire et républicain.""",omc_pa721210,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721210.jpg,La France insoumise,,,LFI,,Seine-Saint-Denis,7e,,,Absent(e),Absent(e),,Pour,PRESENT,POUR,Pour
Mme,Alice Thourot,"""Je n'étais pas présente dans l'Hémicycle lors du vote, j'avais effectivement d'autres obligations (j'ai notamment beaucoup travaillé durant cette période sur le continuum de sécurité, mission confiée par le Premier Ministre).""",omc_pa719302,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719302.jpg,La République en marche,,,LREM,,Drôme,2e,,,Absent(e),Absent(e),,Absent(e),,,Contre
Mme,Amélia Lakrafi,Pas de réponse.,omc_pa721004,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721004.jpg,La République en marche,,,LREM,,Français établis hors de France,10e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Amélie de Montchalin,Pas de réponse.,omc_pa721670,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721670.jpg,La République en marche,,,LREM,,Essonne,6e,,,Absent(e),Absent(e),,Contre,PRESENT,CONTRE,Pas de réponse
M.,André Chassaigne,"""J'étais en effet retenu ce lundi soir comme conseiller municipal de ma petite commune de Saint-Amant-Roche-Savine. D'autant plus que c'était la première réunion présidée par le maire qui venait d'être élu (à la suite de la démission du maire qui m'avait succédé en 2010). Mon absence aurait été localement mal vécue.""",omc_pa267306,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267306.jpg,Gauche démocrate et républicaine,,Président,PCF,,Puy-de-Dôme,5e,,,Absent(e),Absent(e),,Pour,PRESENT,POUR,Pour
M.,André Villiers,"""Je vous confirme que le député était en circonscription pour les dates sus-citées. La première à des obsèques. La deuxième pour un rendez-vous avec un préfet en circonscription"", justifie l'entourage du député.",omc_pa421348,http://www2.assemblee-nationale.fr/static/tribun/15/photos/421348.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Yonne,2e,,,Absent(e),Absent(e),,Absent(e),,,Pour
Mme,Anissa Khedher,Pas de réponse.,omc_pa722300,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722300.jpg,La République en marche,,,LREM,,Rhône,7e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Annaïg Le Meur,Pas de réponse.,omc_pa719388,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719388.jpg,La République en marche,,,LREM,,Finistère,1ère,SIGNATAIRE,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Anne Blanc,Pas de réponse.,omc_pa718990,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718990.jpg,La République en marche,,,LREM,,Aveyron,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
