state,etats,abrv,vote,elu,name,percent_dem,percent_rep
Alabama,Alabama,AL,non,non,,,
Alaska,Alaska,AK,non,non,,,
Arizona,Arizona,AZ,oui,,,,
Arkansas,Arkansas,AR,non,non,,,
California,Californie,CA,oui,,,,
Colorado,Colorado,CO,non,non,,,
Connecticut,Connecticut,CT,oui,,,,
Delaware,Delaware,DE,oui,,,,
District of Columbia,Washington D.C.,DC,oui,,,,
Florida,Floride,FL,oui,,,,
Georgia,Géorgie,GA,non,non,,,
Hawaii,Hawaï,HI,oui,,,,
Idaho,Idaho,ID,non,non,,,
Illinois,Illinois,IL,non,non,,,
Indiana,Indiana,IN,oui,,,,
Iowa,Iowa,IA,non,non,,,
Kansas,Kansas,KS,non,non,,,
Kentucky,Kentucky,KY,non,non,,,
Louisiana,Louisiane,LA,non,non,,,
Maine,Maine,ME,oui,,,,
Maryland,Maryland,MD,oui,,,,
Massachusetts,Massachusetts,MA,oui,,,,
Michigan,Michigan,MI,oui,,,,
Minnesota,Minnesota,MN,oui,,,,
Mississippi,Mississippi,MS,oui,,,,
Missouri,Missouri,MO,oui,,,,
Montana,Montana,MT,oui,,,,
Nebraska,Nebraska,NE,oui,,,,
Nevada,Nevada,NV,oui,,,,
New Hampshire,New Hampshire,NH,oui,,,,
New Jersey,New Jersey,NJ,oui,,,,
New Mexico,Nouveau-Mexique,NM,oui,,,,
New York,New York,NY,oui,,,,
North Carolina,Caroline du Nord,NC,non,non,,,
North Dakota,Dakota du Nord,ND,oui,,,,
Ohio,Ohio,OH,oui,,,,
Oklahoma,Oklahoma,OK,non,non,,,
Oregon,Oregon,OR,non,non,,,
Pennsylvania,Pennsylvanie,PA,oui,,,,
Rhode Island,Rhode Island,RI,oui,,,,
South Carolina,Caroline du Sud,SC,non,non,,,
South Dakota,Dakota du Sud,SD,non,non,,,
Tennessee,Tennessee,TN,oui,,,,
Texas,Texas,TX,oui,,,,
Utah,Utah,UT,oui,,,,
Vermont,Vermont,VT,oui,,,,
Virginia,Virginie,VA,oui,,,,
Washington,Washington,WA,oui,,,,
West Virginia,Virginie-occidentale,WV,oui,,,,
Wisconsin,Wisconsin,WI,oui,,,,
Wyoming,Wyoming,WY,oui,,,,
